Date,Away Team,Home Team,Away Team Goals,Home Team Goals,Away Goalie,Home Goalie,Away Goalie TOI,Home Goalie TOI,Away Goalie GA,Home Goalie GA,Away GAA,Home GAA
20241004,Devils,Sabres,1,0,Jacob Markstrom,Ukko-Pekka Luukkonen,20,20,0,1,2.99,3.26
20241005,Sabres,Devils,1,1,Devon Levi,Jake Allen,20,20,1,1,3.79,0.50
20241008,Blues,Kraken,3,2,Jordan Binnington,Philipp Grubauer,20,20,2,3,3.02,3.07
20241008,Bruins,Panthers,1,1,Joonas Korpisalo,Sergei Bobrovsky,20,20,1,1,4.57,2.95
20241008,Blackhawks,Utah Hockey Club,1,1,Petr Mrazek,Connor Ingram,20,20,1,1,2.53,3.29
20241009,Maple Leafs,Canadiens,0,0,Anthony Stolarz,Sam Montembeault,20,20,0,0,1.83,2.29
20241009,Rangers,Penguins,1,0,Igor Shesterkin,Tristan Jarry,20,20,0,1,1.97,5.47
20241009,Jets,Oilers,3,0,Connor Hellebuyck,Stuart Skinner,20,31,0,5,1.25,4.03
20241009,Flames,Canucks,1,0,Dan Vladar,Arturs Silovs,20,20,0,1,2.63,4.50
20241009,Avalanche,Golden Knights,2,2,Justus Annunen,Adin Hill,15,20,2,2,2.70,3.81
20241010,Canadiens,Bruins,0,2,Cayden Primeau,Jeremy Swayman,20,20,2,0,4.42,2.71
20241010,Kings,Sabres,0,1,Darcy Kuemper,Ukko-Pekka Luukkonen,20,20,1,0,3.59,3.26
20241010,Panthers,Senators,1,0,Sergei Bobrovsky,Linus Ullmark,20,20,0,1,2.95,2.58
20241010,Maple Leafs,Devils,1,1,Dennis Hildeby,Jacob Markstrom,20,20,1,1,2.02,2.99
20241010,Utah Hockey Club,Islanders,1,0,Connor Ingram,Semyon Varlamov,20,20,0,1,3.29,3.27
20241010,Penguins,Red Wings,3,1,Joel Blomqvist,Ville Husso,20,25,1,4,3.16,3.03
20241010,Stars,Predators,4,1,Jake Oettinger,Scott Wedgewood,20,20,1,4,1.48,4.21
20241010,Blue Jackets,Wild,1,1,Elvis Merzlikins,Filip Gustavsson,20,20,1,1,3.68,1.50
20241010,Blues,Sharks,0,2,Joel Hofer,Mackenzie Blackwood,20,20,2,0,2.32,4.88
20241011,Lightning,Hurricanes,1,0,Andrei Vasilevskiy,Frederik Andersen,20,20,0,1,2.52,1.53
20241011,Blackhawks,Jets,1,0,Arvid Soderblom,Connor Hellebuyck,20,20,0,1,2.52,1.25
20241011,Flyers,Canucks,0,1,Samuel Ersson,Kevin Lankinen,20,20,1,0,2.99,1.28
20241011,Blues,Golden Knights,1,1,Jordan Binnington,Adin Hill,20,20,1,1,3.02,3.81
20241012,Kings,Bruins,1,1,Darcy Kuemper,Jeremy Swayman,20,20,1,1,3.59,2.71
20241012,Panthers,Sabres,1,2,Spencer Knight,Devon Levi,20,20,2,1,3.56,3.79
20241012,Penguins,Maple Leafs,0,2,Joel Blomqvist,Anthony Stolarz,20,20,2,0,3.16,1.83
20241012,Senators,Canadiens,0,0,Linus Ullmark,Sam Montembeault,20,20,0,0,2.58,2.29
20241012,Predators,Red Wings,0,1,Juuse Saros,Cam Talbot,20,20,1,0,3.64,3.31
20241012,Utah Hockey Club,Rangers,4,3,Connor Ingram,Igor Shesterkin,20,20,3,4,3.29,1.97
20241012,Devils,Capitals,2,1,Jacob Markstrom,Charlie Lindgren,20,20,1,2,2.99,3.06
20241012,Islanders,Stars,0,1,Semyon Varlamov,Jake Oettinger,20,20,1,0,3.27,1.48
20241012,Kraken,Wild,2,1,Joey Daccord,Marc-Andre Fleury,20,20,1,2,2.60,3.72
20241012,Blue Jackets,Avalanche,3,2,Daniil Tarasov,Justus Annunen,20,35,2,2,3.70,2.70
20241012,Flyers,Flames,2,1,Ivan Fedotov,Dustin Wolf,20,20,1,2,6.09,2.02
20241012,Blackhawks,Oilers,2,1,Petr Mrazek,Calvin Pickard,20,20,1,2,2.53,3.28
20241012,Ducks,Sharks,0,0,Lukas Dostal,Vitek Vanecek,20,20,0,0,2.49,3.14
20241013,Wild,Jets,0,0,Filip Gustavsson,Connor Hellebuyck,20,20,0,0,1.50,1.25
20241013,Kraken,Stars,0,0,Philipp Grubauer,Casey DeSmith,20,20,0,0,3.07,1.53
20241013,Flames,Oilers,1,0,Dan Vladar,Stuart Skinner,20,20,0,1,2.63,4.03
20241013,Ducks,Golden Knights,0,0,James Reimer,Ilya Samsonov,20,20,0,0,3.00,2.41
20241014,Panthers,Bruins,2,2,Sergei Bobrovsky,Jeremy Swayman,20,20,2,2,2.95,2.71
20241014,Kings,Senators,3,4,Darcy Kuemper,Mads Sogaard,20,34,4,4,3.59,3.53
20241014,Utah Hockey Club,Devils,0,2,Karel Vejmelka,Jake Allen,20,20,2,0,3.09,0.50
20241014,Red Wings,Rangers,0,1,Alex Lyon,Igor Shesterkin,20,20,1,0,2.06,1.97
20241014,Penguins,Canadiens,1,2,Tristan Jarry,Sam Montembeault,20,20,2,1,5.47,2.29
20241014,Islanders,Avalanche,2,0,Ilya Sorokin,Alexandar Georgiev,20,20,0,2,1.48,4.99
