Name,Away,Away GA,Away NGSP,Away YGSP,Away GAA,Home,Home GA,Home NGSP,Home YGSP,Home GAA,Total NGSP,Total YGSP,Season GAA,L5 Streak,NGSP Streak,YGSP Streak
Jacob Markstrom,5,3.0,3,2,1.8,3,3.0,1,2,3.0,4,4,3.01,3,2,0
Ukko-Pekka Luukkonen,2,4.0,0,2,6.0,4,3.0,2,2,2.25,2,4,3.01,2,0,1
Devon Levi,2,3.0,0,2,4.5,1,1.0,0,1,3.0,0,3,3.79,0,0,3
Jake Allen,0,0,0,0,0,4,7.0,1,3,5.25,1,3,3.25,1,0,2
Jordan Binnington,4,6.0,0,4,4.5,2,4.0,0,2,6.0,0,6,2.86,0,0,6
Philipp Grubauer,1,0.0,1,0,0.0,3,5.0,1,2,5.0,2,2,3.10,2,0,1
Joonas Korpisalo,2,2.0,0,2,3.0,0,0,0,0,0,0,2,4.57,0,0,2
Sergei Bobrovsky,3,2.0,2,1,2.0,3,3.0,0,3,3.0,2,4,3.11,2,1,0
Petr Mrazek,4,4.0,0,4,3.0,3,3.0,1,2,3.0,1,6,3.20,1,0,2
Connor Ingram,4,7.0,1,3,5.25,3,6.0,0,3,6.0,1,6,3.71,1,0,1
Anthony Stolarz,2,3.0,1,1,4.5,4,1.0,3,1,0.75,4,2,2.19,3,0,1
Sam Montembeault,0,0,0,0,0,5,4.0,2,3,2.4,2,3,2.94,2,0,3
Igor Shesterkin,3,1.0,2,1,1.0,3,5.0,1,2,5.0,3,3,2.16,2,0,2
Tristan Jarry,1,2.0,0,1,6.0,1,1.0,0,1,3.0,0,2,5.47,0,0,2
Connor Hellebuyck,3,0.0,3,0,0.0,3,2.0,1,2,2.0,4,2,1.66,3,2,0
Stuart Skinner,1,1.0,0,1,3.0,5,7.0,2,3,4.2,2,4,3.06,2,2,0
Dan Vladar,3,1.0,2,1,1.0,1,2.0,0,1,6.0,2,2,2.73,2,0,2
Arturs Silovs,1,1.0,0,1,3.0,1,1.0,0,1,3.0,0,2,4.50,0,0,2
Justus Annunen,4,3.0,2,2,2.25,2,2.0,1,1,3.0,3,3,2.48,3,2,0
Adin Hill,2,3.0,1,1,4.5,3,4.0,0,3,4.0,1,4,3.85,1,0,1
Cayden Primeau,3,2.0,2,1,2.0,1,1.0,0,1,3.0,2,2,3.89,2,1,0
Jeremy Swayman,2,1.0,1,1,1.5,5,8.0,1,4,4.8,2,5,2.97,1,0,3
Darcy Kuemper,3,6.0,0,3,6.0,1,1.0,0,1,3.0,0,4,3.20,0,0,4
Linus Ullmark,3,1.0,2,1,1.0,1,1.0,0,1,3.0,2,2,3.35,1,0,2
Dennis Hildeby,2,3.0,0,2,4.5,0,0,0,0,0,0,2,4.03,0,0,2
Semyon Varlamov,1,1.0,0,1,3.0,3,4.0,0,3,4.0,0,4,3.72,0,0,4
Joel Blomqvist,3,5.0,0,3,5.0,2,2.0,1,1,3.0,1,4,3.34,1,0,2
Ville Husso,0,0,0,0,0,1,4.0,0,1,12.0,0,1,3.03,0,0,1
Jake Oettinger,2,3.0,0,2,4.5,4,2.0,3,1,1.5,3,3,1.84,3,1,0
Scott Wedgewood,0,0,0,0,0,2,6.0,0,2,9.0,0,2,3.54,0,0,2
Elvis Merzlikins,1,1.0,0,1,3.0,1,3.0,0,1,9.0,0,2,3.68,0,0,2
Filip Gustavsson,5,2.0,3,2,1.2,1,1.0,0,1,3.0,3,3,2.17,3,0,2
Joel Hofer,1,2.0,0,1,6.0,2,0.0,2,0,0.0,2,1,2.32,2,2,0
Mackenzie Blackwood,4,8.0,1,3,6.0,1,0.0,1,0,0.0,2,3,3.88,2,1,0
Andrei Vasilevskiy,2,2.0,1,1,3.0,4,2.0,2,2,1.5,3,3,3.13,2,1,0
Frederik Andersen,3,1.0,2,1,1.0,1,1.0,0,1,3.0,2,2,1.49,2,1,0
Arvid Soderblom,1,0.0,1,0,0.0,1,1.0,0,1,3.0,1,1,2.52,1,0,1
Samuel Ersson,3,4.0,0,3,4.0,3,5.0,1,2,5.0,1,5,3.56,1,0,1
Kevin Lankinen,3,1.0,2,1,1.0,2,1.0,1,1,1.5,3,2,1.95,3,0,1
Spencer Knight,3,4.0,1,2,4.0,1,0.0,1,0,0.0,2,2,3.03,1,1,0
Juuse Saros,2,2.0,0,2,3.0,4,3.0,2,2,2.25,2,4,2.74,2,0,1
Cam Talbot,0,0,0,0,0,3,2.0,1,2,2.0,1,2,3.16,1,0,2
Charlie Lindgren,2,1.0,1,1,1.5,2,3.0,0,2,4.5,1,3,2.53,1,0,1
Joey Daccord,2,2.0,0,2,3.0,3,3.0,1,2,3.0,1,4,2.95,1,0,2
Marc-Andre Fleury,1,2.0,0,1,6.0,1,2.0,0,1,6.0,0,2,2.89,0,0,2
Daniil Tarasov,2,3.0,0,2,4.5,3,4.0,1,2,4.0,1,4,3.42,1,0,2
Ivan Fedotov,2,4.0,0,2,6.0,0,0,0,0,0,0,2,5.35,0,0,2
Dustin Wolf,0,0,0,0,0,4,3.0,2,2,2.25,2,2,2.74,2,1,0
Calvin Pickard,2,2.0,0,2,3.0,1,2.0,0,1,6.0,0,3,2.91,0,0,3
Lukas Dostal,3,1.0,2,1,1.0,3,0.0,3,0,0.0,5,1,2.17,4,3,0
Vitek Vanecek,2,3.0,0,2,4.5,2,0.0,2,0,0.0,2,2,4.00,2,0,1
Casey DeSmith,2,4.0,0,2,6.0,1,0.0,1,0,0.0,1,2,1.69,1,0,2
James Reimer,2,4.0,1,1,6.0,0,0,0,0,0,1,1,4.50,1,0,1
Ilya Samsonov,1,2.0,0,1,6.0,3,3.0,1,2,3.0,1,3,2.21,1,0,3
Mads Sogaard,0,0,0,0,0,1,4.0,0,1,12.0,0,1,3.53,0,0,1
Karel Vejmelka,1,2.0,0,1,6.0,1,2.0,0,1,6.0,0,2,3.04,0,0,2
Alex Lyon,4,3.0,2,2,2.25,1,0.0,1,0,0.0,3,2,2.05,2,0,1
Ilya Sorokin,3,1.0,2,1,1.0,1,0.0,1,0,0.0,3,1,1.74,3,0,1
Alexandar Georgiev,0,0,0,0,0,3,4.0,1,2,4.0,1,2,4.99,1,1,0
Logan Thompson,1,2.0,0,1,6.0,2,3.0,0,2,4.5,0,3,3.28,0,0,3
Pyotr Kochetkov,2,4.0,0,2,6.0,1,1.0,0,1,3.0,0,3,2.70,0,0,3
David Rittich,4,4.0,3,1,3.0,1,1.0,0,1,3.0,3,2,3.09,3,0,1
Anton Forsberg,1,0.0,1,0,0.0,2,5.0,0,2,7.5,1,2,2.94,1,1,0
Jonathan Quick,1,1.0,0,1,3.0,1,0.0,1,0,0.0,1,1,1.51,1,1,0
Alex Nedeljkovic,3,7.0,1,2,7.0,0,0,0,0,0,1,2,3.94,1,0,1
Eric Comrie,1,1.0,0,1,3.0,1,2.0,0,1,6.0,0,2,3.00,0,0,2
Jonas Johansson,2,2.0,0,2,3.0,0,0,0,0,0,0,2,4.08,0,0,2
Joseph Woll,0,0,0,0,0,1,1.0,0,1,3.0,0,1,4.08,0,0,1
Aleksei Kolosov,0,0,0,0,0,1,3.0,0,1,9.0,0,1,4.13,0,0,1
