Name,Away,Away GA,Away NGTP,Away YGTP,Away GAA,Home,Home GA,Home NGTP,Home YGTP,Home GAA,Total NGTP,Total YGTP,Season GAA,L5 Streak,NGTP Streak,YGTP Streak
Jacob Markstrom,5,8.0,0,5,4.8,3,1.0,2,1,1.0,2,6,3.01,1,0,2
Ukko-Pekka Luukkonen,2,2.0,1,1,3.0,4,6.0,1,3,4.5,2,4,3.01,2,1,0
Devon Levi,2,4.0,0,2,6.0,1,0.0,1,0,0.0,1,2,3.79,1,0,1
Jake Allen,0,0,0,0,0,4,2.0,3,1,1.5,3,1,3.25,3,1,0
Jordan Binnington,4,3.0,2,2,2.25,2,2.0,1,1,3.0,3,3,2.86,2,0,1
Philipp Grubauer,1,0.0,1,0,0.0,3,2.0,2,1,2.0,3,1,3.10,3,1,0
Joonas Korpisalo,2,2.0,0,2,3.0,0,0,0,0,0,0,2,4.57,0,0,2
Sergei Bobrovsky,3,1.0,2,1,1.0,3,3.0,1,2,3.0,3,3,3.11,3,1,0
Petr Mrazek,4,6.0,0,4,4.5,3,4.0,0,3,4.0,0,7,3.20,0,0,7
Connor Ingram,4,6.0,0,4,4.5,3,5.0,1,2,5.0,1,6,3.71,2,0,1
Anthony Stolarz,2,0.0,2,0,0.0,4,6.0,0,4,4.5,2,4,2.19,1,1,0
Sam Montembeault,0,0,0,0,0,5,6.0,2,3,3.6,2,3,2.94,2,1,0
Igor Shesterkin,3,1.0,2,1,1.0,3,0.0,3,0,0.0,5,1,2.16,4,2,0
Tristan Jarry,1,0.0,1,0,0.0,1,2.0,0,1,6.0,1,1,5.47,1,1,0
Connor Hellebuyck,3,3.0,1,2,3.0,3,1.0,2,1,1.0,3,3,1.66,2,0,3
Stuart Skinner,1,3.0,0,1,9.0,5,10.0,2,3,6.0,2,4,3.06,2,1,0
Dan Vladar,3,1.0,2,1,1.0,1,1.0,0,1,3.0,2,2,2.73,2,0,1
Arturs Silovs,1,2.0,0,1,6.0,1,3.0,0,1,9.0,0,2,4.50,0,0,2
Justus Annunen,4,4.0,1,3,3.0,2,6.0,0,2,9.0,1,5,2.48,1,0,3
Adin Hill,2,2.0,1,1,3.0,3,2.0,1,2,2.0,2,3,3.85,2,1,0
Cayden Primeau,3,4.0,0,3,4.0,1,3.0,0,1,9.0,0,4,3.89,0,0,4
Jeremy Swayman,2,3.0,0,2,4.5,5,4.0,2,3,2.4,2,5,2.97,1,0,4
Darcy Kuemper,3,2.0,2,1,2.0,1,1.0,0,1,3.0,2,2,3.20,2,0,2
Linus Ullmark,3,5.0,1,2,5.0,1,0.0,1,0,0.0,2,2,3.35,1,0,3
Dennis Hildeby,2,1.0,1,1,1.5,0,0,0,0,0,1,1,4.03,1,0,1
Semyon Varlamov,1,1.0,0,1,3.0,3,6.0,0,3,6.0,0,4,3.72,0,0,4
Joel Blomqvist,3,5.0,0,3,5.0,2,3.0,0,2,4.5,0,5,3.34,0,0,5
Ville Husso,0,0,0,0,0,1,4.0,0,1,12.0,0,1,3.03,0,0,1
