Name,Away,Away GS,Away GA,Away NGTP,Away YGTP,Away NGSTP,Away YGSTP,Home,Home GS,Home GA,Home NGTP,Home YGTP,Home NGSTP,Home YGSTP,Total NGTP,Total YGTP,Total NGSTP,Total YGSTP,Intra NGTP,Intra YGTP,Intra NGSTP,Intra YGSTP,L10 Streak,NGSTP Streak,YGSTP Streak
Devils,5,5,8,0,5,0,5,7,11,3,1,6,1,6,1,11,1,11,0,4,0,4,1,0,9
Sabres,4,4,6,0,4,1,3,5,5,6,0,5,1,4,0,9,2,7,0,2,0,2,2,0,6
Blues,5,6,3,1,4,2,3,4,3,4,1,3,1,3,2,7,3,6,0,2,0,2,3,1,0
Kraken,3,6,2,1,2,1,2,6,5,5,2,4,2,4,3,6,3,6,1,0,1,0,3,0,3
Bruins,4,3,5,0,4,2,2,5,1,4,2,3,4,1,2,7,6,3,1,3,2,2,6,4,0
Panthers,6,4,3,2,4,4,2,4,2,3,2,2,2,2,4,6,6,4,1,3,3,1,6,0,1
Blackhawks,5,5,7,0,5,2,3,4,2,5,0,4,2,2,0,9,4,5,0,4,2,2,4,0,1
Utah Hockey Club,5,5,7,0,5,2,3,4,4,2,1,3,1,3,1,8,3,6,0,2,0,2,3,0,2
Maple Leafs,4,2,1,2,2,2,2,5,4,8,0,5,2,3,2,7,4,5,1,2,2,1,4,0,1
Canadiens,3,3,4,0,3,1,2,6,4,8,1,5,4,2,1,8,5,4,1,2,1,2,5,1,0
Rangers,4,6,2,0,4,1,3,4,5,1,1,3,1,3,1,7,2,6,0,1,0,1,2,0,1
Penguins,7,10,10,0,7,1,6,3,2,5,0,3,2,1,0,10,3,7,0,2,2,0,3,0,1
Jets,4,5,4,0,4,1,3,4,7,2,1,3,1,3,1,7,2,6,1,2,2,1,2,0,2
Oilers,3,3,3,0,3,0,3,6,4,8,0,6,3,3,0,9,3,6,0,1,1,0,3,0,2
Flames,3,6,1,1,2,1,2,5,8,7,0,5,0,5,1,7,1,7,1,2,1,2,1,0,3
Canucks,4,3,3,2,2,2,2,3,1,5,0,3,2,1,2,5,4,3,0,1,0,1,4,1,0
Avalanche,4,4,5,0,4,1,3,5,8,9,0,5,0,5,0,9,1,8,0,1,0,1,1,0,2
Golden Knights,3,1,3,1,2,2,1,6,14,3,0,6,0,6,1,8,2,7,0,3,0,3,2,0,4
Kings,7,13,7,1,6,2,5,2,1,2,0,2,1,1,1,8,3,6,0,3,2,1,3,0,1
Senators,4,5,8,1,3,2,2,4,5,4,0,4,0,4,1,7,2,6,0,3,0,3,2,0,1
Islanders,4,2,3,1,3,3,1,4,4,6,1,3,2,2,2,6,5,3,0,1,1,0,5,3,0
Red Wings,4,3,4,1,3,3,1,5,7,4,0,5,1,4,1,8,4,5,0,1,1,0,4,2,0
Stars,4,3,4,1,3,2,2,5,6,3,2,3,2,3,3,6,4,5,0,2,1,1,4,0,4
Predators,2,1,2,0,2,1,1,6,7,9,0,6,2,4,0,8,3,5,0,2,0,2,3,0,4
Blue Jackets,3,3,4,0,3,0,3,4,5,5,0,4,0,4,0,7,0,7,0,0,0,0,0,0,7
Wild,6,8,6,2,4,2,4,2,3,3,0,2,0,2,2,6,2,6,1,1,1,1,2,0,2
Sharks,6,5,8,1,5,1,5,3,0,7,0,3,3,0,1,8,4,5,0,4,1,3,4,0,3
Lightning,4,7,4,0,4,0,4,4,6,3,0,4,1,3,0,8,1,7,0,2,0,2,1,0,1
Hurricanes,5,8,3,0,5,0,5,2,2,4,0,2,1,1,0,7,1,6,0,2,0,2,1,0,6
Flyers,5,5,7,0,5,1,4,4,7,4,1,3,1,3,1,8,2,7,0,2,0,2,2,0,4
Capitals,3,2,5,0,3,2,1,4,3,2,2,2,2,2,2,5,4,3,0,4,1,3,4,1,0
Ducks,5,5,8,0,5,1,4,3,4,7,0,3,0,3,0,8,1,7,0,4,1,3,1,0,6
